#ID = Affymetrix Probe Set ID
#ORF = Entrez Gene Link
#SPOT_ID = identifies controls
#Species Scientific Name = The genus and species of the organism represented by the probe set.
#Annotation Date = The date that the annotations for this probe array were last updated. It will generally be earlier than the date when the annotations were posted on the Affymetrix web site.
#Sequence Type = 
#Sequence Source = The database from which the sequence used to design this probe set was taken.
#Target Description = GenBank description associated with the representative public identifier. Blank for some probe sets.
#Representative Public ID = The accession number of a representative sequence. Note that for consensus-based probe sets, the representative sequence is only one of several sequences (sequence sub-clusters) used to build the consensus sequence and it is not directly used to derive the probe sequences. The representative sequence is chosen during array design as a sequence that is best associated with the transcribed region being interrogated by the probe set. Refer to the Sequence Source field to determine the database used.
#Gene Title = Title of Gene represented by the probe set.
#Gene Symbol = A gene symbol, when one is available (from UniGene).
#ENTREZ_GENE_ID = Entrez Gene Database UID
#RefSeq Transcript ID = 
#SGD accession number = SGD accession number
#Gene Ontology Biological Process = Gene Ontology Consortium Biological Process derived from LocusLink.  Each annotation consists of three parts: Accession Number // Description // Evidence. The description corresponds directly to the GO ID. The evidence can be direct, or extended.
#Gene Ontology Cellular Component = Gene Ontology Consortium Cellular Component derived from LocusLink.  Each annotation consists of three parts: Accession Number // Description // Evidence. The description corresponds directly to the GO ID. The evidence can be direct, or extended.
#Gene Ontology Molecular Function = Gene Ontology Consortium Molecular Function derived from LocusLink.  Each annotation consists of three parts: Accession Number // Description // Evidence. The description corresponds directly to the GO ID. The evidence can be direct, or extended.
ID	ORF	SPOT_ID	Species Scientific Name	Annotation Date	Sequence Type	Sequence Source	Target Description	Representative Public ID	Gene Title	Gene Symbol	ENTREZ_GENE_ID	RefSeq Transcript ID	SGD accession number	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function
7221_at	YBR130C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YBR130C cytoplasmic protein involved in mother-specific HO expression	YBR130C	Protein adaptor between Myo4p and the She2p-mRNA complex; part of the mRNA localization machinery that restricts accumulation of certain proteins to the bud; also required for cortical ER inheritance	SHE3	852427	NM_001178478	S000000334	0006810 // transport // inferred from electronic annotation /// 0007533 // mating type switching // inferred from mutant phenotype /// 0008298 // intracellular mRNA localization // inferred from mutant phenotype /// 0048309 // endoplasmic reticulum inheritance // inferred from mutant phenotype /// 0051028 // mRNA transport // inferred from electronic annotation	0005737 // cytoplasm // inferred from direct assay /// 0005783 // endoplasmic reticulum // inferred from electronic annotation /// 0005789 // endoplasmic reticulum membrane // inferred from electronic annotation /// 0005934 // cellular bud tip // inferred from direct assay /// 0016020 // membrane // inferred from electronic annotation	0003723 // RNA binding // inferred from electronic annotation /// 0003729 // mRNA binding // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction
7222_at	YBR131W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YBR131W Calcium Caffeine Zinc sensitivity	YBR131W	Protein involved in vacuolar assembly; essential for autophagy and the cytoplasm-to-vacuole pathway	CCZ1	852428	NM_001178479	S000000335	0000046 // autophagic vacuole fusion // inferred from direct assay /// 0006623 // protein targeting to vacuole // inferred from mutant phenotype /// 0006810 // transport // inferred from electronic annotation /// 0006914 // autophagy // inferred from direct assay /// 0006914 // autophagy // inferred from electronic annotation /// 0007034 // vacuolar transport // inferred from genetic interaction /// 0007034 // vacuolar transport // inferred from mutant phenotype /// 0015031 // protein transport // inferred from electronic annotation /// 0032851 // positive regulation of Rab GTPase activity // inferred from direct assay /// 0043547 // positive regulation of GTPase activity // inferred from physical interaction /// 0048278 // vesicle docking // inferred from mutant phenotype	0005768 // endosome // inferred from electronic annotation /// 0005773 // vacuole // inferred from electronic annotation /// 0005774 // vacuolar membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0031902 // late endosome membrane // inferred from electronic annotation /// 0032585 // multivesicular body membrane // inferred from electronic annotation /// 0035658 // Mon1-Ccz1 complex // inferred from physical interaction	0005085 // guanyl-nucleotide exchange factor activity // inferred from physical interaction /// 0005515 // protein binding // inferred from physical interaction /// 0017112 // Rab guanyl-nucleotide exchange factor activity // inferred from direct assay
7223_at	YBR132C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YBR132C Amino acid permease	YBR132C	Plasma membrane regulator of polyamine and carnitine transport; has similarity to transporters but lacks transport activity; may act as a sensor that transduces environmental signals; has a positive or negative regulatory effect on transcription of many transporter genes	AGP2	852429	NM_001178480	S000000336	0003333 // amino acid transmembrane transport // inferred from electronic annotation /// 0006631 // fatty acid metabolic process // inferred from direct assay /// 0006810 // transport // inferred from electronic annotation /// 0006865 // amino acid transport // inferred from electronic annotation /// 0006970 // response to osmotic stress // inferred from direct assay /// 0015846 // polyamine transport // inferred from mutant phenotype /// 0015879 // carnitine transport // inferred from direct assay /// 0055085 // transmembrane transport // inferred from electronic annotation /// 1902269 // positive regulation of polyamine transmembrane transport // inferred from mutant phenotype /// 1902274 // positive regulation of (R)-carnitine transmembrane transport // inferred from mutant phenotype	0000329 // fungal-type vacuole membrane // inferred from direct assay /// 0005789 // endoplasmic reticulum membrane // inferred from direct assay /// 0005887 // integral component of plasma membrane // inferred from direct assay /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // not recorded	0005515 // protein binding // inferred from physical interaction /// 0015171 // amino acid transmembrane transporter activity // inferred from electronic annotation /// 0015203 // polyamine transmembrane transporter activity // inferred from mutant phenotype /// 0015226 // carnitine transmembrane transporter activity // inferred from direct assay
7224_at	YBR133C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YBR133C Negative regulator of swe1 kinase (which regulates cdc28)	YBR133C	Protein arginine N-methyltransferase; exhibits septin and Hsl1p-dependent bud neck localization and periodic Hsl1p-dependent phosphorylation; required along with Hsl1p for bud neck recruitment, phosphorylation, and degradation of Swe1p; relocalizes away from bud neck upon DNA replication stress	HSL7	852431	NM_001178481	S000000337	0000086 // G2/M transition of mitotic cell cycle // inferred from genetic interaction /// 0000086 // G2/M transition of mitotic cell cycle // inferred from mutant phenotype /// 0000902 // cell morphogenesis // inferred from direct assay /// 0006479 // protein methylation // inferred from electronic annotation /// 0007049 // cell cycle // inferred from electronic annotation /// 0007067 // mitotic nuclear division // inferred from electronic annotation /// 0016571 // histone methylation // inferred from direct assay /// 0019918 // peptidyl-arginine methylation, to symmetrical-dimethyl arginine // inferred from direct assay /// 0032259 // methylation // inferred from electronic annotation /// 0034969 // histone arginine methylation // inferred from electronic annotation /// 0035247 // peptidyl-arginine omega-N-methylation // inferred from direct assay /// 0044257 // cellular protein catabolic process // inferred from mutant phenotype /// 0045840 // positive regulation of mitosis // inferred from direct assay /// 0051301 // cell division // inferred from electronic annotation /// 0051726 // regulation of cell cycle // inferred from mutant phenotype	0005737 // cytoplasm // inferred from direct assay /// 0005935 // cellular bud neck // inferred from direct assay /// 0005935 // cellular bud neck // inferred from electronic annotation /// 0032174 // cellular bud neck septin collar // inferred from direct assay	0008168 // methyltransferase activity // inferred from electronic annotation /// 0008469 // histone-arginine N-methyltransferase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0035241 // protein-arginine omega-N monomethyltransferase activity // inferred from direct assay /// 0035243 // protein-arginine omega-N symmetric methyltransferase activity // inferred from direct assay /// 0042054 // histone methyltransferase activity // inferred from direct assay
7225_at	YBR134W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YBR134W questionable ORF	YBR134W								
7226_at	YBR135W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YBR135W subunit of the Cdc28 protein kinase	YBR135W	Cyclin-dependent protein kinase regulatory subunit and adaptor; interacts with Cdc28p(Cdk1p); required for G1/S and G2/M phase transitions and budding; mediates the phosphorylation and degradation of Sic1p; modulates proteolysis of M-phase targets through interactions with the proteasome; role in transcriptional regulation, recruiting proteasomal subunits to target gene promoters	CKS1	852432	NM_001178483	S000000339	0006338 // chromatin remodeling // inferred from mutant phenotype /// 0006351 // transcription, DNA-templated // inferred from mutant phenotype /// 0007049 // cell cycle // inferred from electronic annotation /// 0007346 // regulation of mitotic cell cycle // inferred from mutant phenotype /// 0045859 // regulation of protein kinase activity // inferred from electronic annotation /// 0045860 // positive regulation of protein kinase activity // inferred from direct assay /// 0045893 // positive regulation of transcription, DNA-templated // inferred from mutant phenotype /// 0051301 // cell division // inferred from electronic annotation /// 0051726 // regulation of cell cycle // traceable author statement	0000307 // cyclin-dependent protein kinase holoenzyme complex // inferred from direct assay /// 0005634 // nucleus // inferred from direct assay /// 0005737 // cytoplasm // inferred from direct assay	0005515 // protein binding // inferred from physical interaction /// 0016538 // cyclin-dependent protein serine/threonine kinase regulator activity // inferred from electronic annotation /// 0030295 // protein kinase activator activity // inferred from direct assay /// 0042393 // histone binding // inferred from direct assay /// 0043130 // ubiquitin binding // inferred from direct assay
7227_at	YBR136W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YBR136W similar to phosphatidylinositol(PI)3-kinases required for DNA damage induced checkpoint responses in G1, S\/M, intra S, and G2\/M in mitosis	YBR136W	Genome integrity checkpoint protein and PI kinase superfamily member; Mec1p and Dun1p function in same pathway to regulate dNTP pools and telomere length; signal transducer required for cell cycle arrest and transcriptional responses to damaged or unreplicated DNA; facilitates replication fork progression and regulates P-body formation under replication stress; promotes interhomolog recombination by phosphorylating Hop1p; associates with shortened, dysfunctional telomeres	MEC1	852433	NM_001178484	S000000340	0000077 // DNA damage checkpoint // inferred from electronic annotation /// 0000722 // telomere maintenance via recombination // inferred from genetic interaction /// 0000723 // telomere maintenance // inferred from direct assay /// 0006139 // nucleobase-containing compound metabolic process // inferred from genetic interaction /// 0006260 // DNA replication // inferred from mutant phenotype /// 0006281 // DNA repair // inferred from electronic annotation /// 0006310 // DNA recombination // inferred from mutant phenotype /// 0006974 // cellular response to DNA damage stimulus // inferred from electronic annotation /// 0006975 // DNA damage induced protein phosphorylation // inferred from electronic annotation /// 0006975 // DNA damage induced protein phosphorylation // inferred from mutant phenotype /// 0007126 // meiotic nuclear division // inferred from electronic annotation /// 0007131 // reciprocal meiotic recombination // inferred from electronic annotation /// 0007131 // reciprocal meiotic recombination // inferred from mutant phenotype /// 0016310 // phosphorylation // inferred from electronic annotation /// 0016568 // chromatin modification // inferred from electronic annotation /// 0016572 // histone phosphorylation // inferred from genetic interaction /// 0016572 // histone phosphorylation // inferred from mutant phenotype /// 2000105 // positive regulation of DNA-dependent DNA replication // inferred from mutant phenotype	0005634 // nucleus // inferred by curator /// 0005634 // nucleus // inferred from electronic annotation /// 0005739 // mitochondrion // inferred from direct assay /// 0005739 // mitochondrion // inferred from electronic annotation	0000166 // nucleotide binding // inferred from electronic annotation /// 0004672 // protein kinase activity // inferred from direct assay /// 0004674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016772 // transferase activity, transferring phosphorus-containing groups // inferred from electronic annotation /// 0016773 // phosphotransferase activity, alcohol group as acceptor // inferred from electronic annotation
7228_at	YBR137W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YBR137W hypothetical protein	YBR137W	Protein of unknown function; localized to the cytoplasm; binds to Replication Protein A (RPA); also interacts with Sgt2p; YBR137W is not an essential gene	YBR137W	852434	NM_001178485	S000000341		0005737 // cytoplasm // inferred from direct assay /// 0005737 // cytoplasm // inferred from electronic annotation /// 0072380 // TRC complex // inferred from direct assay	
7229_at	YBR138C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YBR138C Unknown	YBR138C	Cytoplasmic protein of unknown function; APCC(Cdh1) substrate; potentially phosphorylated by Cdc28p; YBR138C is not an essential gene	YBR138C	852435	NM_001178486	S000000342		0005737 // cytoplasm // inferred from direct assay /// 0005737 // cytoplasm // inferred from electronic annotation	
7230_at	YBR139W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YBR139W Probable serine-type carboxypeptidase (EC 3.4.16.1)	YBR139W	Putative serine type carboxypeptidase; role in phytochelatin synthesis; green fluorescent protein (GFP)-fusion protein localizes to the vacuole; expression induced by nitrogen limitation in a GLN3, GAT1-independent manner	YBR139W	852436	NM_001178487	S000000343	0006508 // proteolysis // inferred from electronic annotation /// 0046938 // phytochelatin biosynthetic process // inferred from genetic interaction	0000324 // fungal-type vacuole // inferred from direct assay	0004180 // carboxypeptidase activity // inferred from electronic annotation /// 0004185 // serine-type carboxypeptidase activity // inferred from electronic annotation /// 0004185 // serine-type carboxypeptidase activity // not recorded /// 0008233 // peptidase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0017171 // serine hydrolase activity // inferred from direct assay /// 0017171 // serine hydrolase activity // not recorded
7231_at	YBR140C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YBR140C GTPase activating protein	YBR140C	GTPase-activating protein; negatively regulates RAS by converting it from the GTP- to the GDP-bound inactive form, required for reducing cAMP levels under nutrient limiting conditions, mediates membrane association of adenylate cyclase; mutations cause catalase T deficiency, defective glycogen synthesis and defective trehalose accumulation; IRA1 has a paralog, IRA2, that arose from the whole genome duplication	IRA1	852437	NM_001178488	S000000344	0007165 // signal transduction // inferred from electronic annotation /// 0030818 // negative regulation of cAMP biosynthetic process // inferred from mutant phenotype /// 0032320 // positive regulation of Ras GTPase activity // inferred from mutant phenotype /// 0045761 // regulation of adenylate cyclase activity // inferred from mutant phenotype /// 0046580 // negative regulation of Ras protein signal transduction // inferred from mutant phenotype /// 0051056 // regulation of small GTPase mediated signal transduction // inferred from electronic annotation	0005622 // intracellular // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005739 // mitochondrion // inferred from direct assay /// 0016020 // membrane // inferred from mutant phenotype /// 0016020 // membrane // inferred from physical interaction /// 0016021 // integral component of membrane // not recorded /// 0031235 // intrinsic component of the cytoplasmic side of the plasma membrane // not recorded	0005096 // GTPase activator activity // inferred from electronic annotation /// 0005099 // Ras GTPase activator activity // inferred from mutant phenotype
7232_at	YBR141C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YBR141C hypothetical protein	YBR141C	Nucleolar S-adenosylmethionine-dependent rRNA methyltransferase; methylates adenine (m1A) of the large subunit (LSU) rRNA at position 2142; belongs to Rossmann fold superfamily; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus; YBR141C is not an essential gene	BMT2	852438	NM_001178489	S000000345	0031167 // rRNA methylation // inferred from electronic annotation /// 0032259 // methylation // inferred from electronic annotation	0005634 // nucleus // inferred from electronic annotation /// 0005730 // nucleolus // inferred from direct assay /// 0005730 // nucleolus // inferred from electronic annotation	0008168 // methyltransferase activity // inferred from electronic annotation /// 0008757 // S-adenosylmethionine-dependent methyltransferase activity // not recorded /// 0016433 // rRNA (adenine) methyltransferase activity // inferred from electronic annotation /// 0016433 // rRNA (adenine) methyltransferase activity // inferred from mutant phenotype /// 0016740 // transferase activity // inferred from electronic annotation
7233_at	YBR142W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YBR142W Probable pre-mRNA splicing RNA-helicase	YBR142W	Essential nucleolar protein; putative DEAD-box RNA helicase required for maintenance of M1 dsRNA virus; involved in biogenesis of large (60S) ribosomal subunits	MAK5	852439	NM_001178490	S000000346	0000463 // maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) // inferred from mutant phenotype /// 0000466 // maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) // inferred from mutant phenotype /// 0006200 // ATP catabolic process // inferred from electronic annotation /// 0006364 // rRNA processing // inferred from electronic annotation /// 0042254 // ribosome biogenesis // inferred from electronic annotation /// 0042273 // ribosomal large subunit biogenesis // inferred from mutant phenotype	0005634 // nucleus // inferred from electronic annotation /// 0005730 // nucleolus // inferred from direct assay /// 0005730 // nucleolus // inferred from electronic annotation	0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0004004 // ATP-dependent RNA helicase activity // inferred from sequence or structural similarity /// 0004386 // helicase activity // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008026 // ATP-dependent helicase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation
7234_at	YBR143C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YBR143C Ominipotent suppressor protein of nonsense codons	YBR143C	Polypeptide release factor (eRF1) in translation termination; mutant form acts as a recessive omnipotent suppressor; methylated by Mtq2p-Trm112p in ternary complex eRF1-eRF3-GTP; mutation of methylation site confers resistance to zymocin; has a role in cytokinesis through interaction with Mlc1p	SUP45	852440	NM_001178491	S000000347	0006353 // DNA-templated transcription, termination // inferred from mutant phenotype /// 0006412 // translation // inferred from electronic annotation /// 0006415 // translational termination // inferred from direct assay /// 0006415 // translational termination // inferred from electronic annotation /// 0006415 // translational termination // inferred from genetic interaction /// 0006415 // translational termination // inferred from mutant phenotype /// 0006415 // translational termination // inferred from sequence or structural similarity	0005737 // cytoplasm // inferred from electronic annotation /// 0005829 // cytosol // inferred from physical interaction /// 0010494 // cytoplasmic stress granule // inferred from direct assay /// 0018444 // translation release factor complex // inferred from direct assay	0003747 // translation release factor activity // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0016149 // translation release factor activity, codon specific // inferred from electronic annotation /// 0016149 // translation release factor activity, codon specific // inferred from mutant phenotype /// 0016149 // translation release factor activity, codon specific // inferred from sequence or structural similarity
7235_at	YBR144C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YBR144C hypothetical protein	YBR144C								
7236_at	YBR145W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YBR145W alcohol dehydrogenase isoenzyme V	YBR145W	Alcohol dehydrogenase isoenzyme V; involved in ethanol production; ADH5 has a paralog, ADH1, that arose from the whole genome duplication	ADH5	852442	NM_001178493	S000000349	0000947 // amino acid catabolic process to alcohol via Ehrlich pathway // inferred from genetic interaction /// 0006116 // NADH oxidation // inferred from mutant phenotype /// 0043458 // ethanol biosynthetic process involved in glucose fermentation to ethanol // inferred from mutant phenotype /// 0055114 // oxidation-reduction process // inferred from electronic annotation	0005634 // nucleus // inferred from direct assay /// 0005737 // cytoplasm // inferred from direct assay	0000166 // nucleotide binding // inferred from electronic annotation /// 0004022 // alcohol dehydrogenase (NAD) activity // inferred from electronic annotation /// 0004022 // alcohol dehydrogenase (NAD) activity // inferred from sequence or structural similarity /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
7237_at	YBR146W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YBR146W Probable mitochondrial ribosomal protein S9	YBR146W	Mitochondrial ribosomal protein of the small subunit	MRPS9	852443	NM_001178494	S000000350	0006412 // translation // inferred from electronic annotation /// 0032543 // mitochondrial translation // inferred by curator	0005622 // intracellular // inferred from electronic annotation /// 0005739 // mitochondrion // inferred from direct assay /// 0005739 // mitochondrion // inferred from electronic annotation /// 0005763 // mitochondrial small ribosomal subunit // inferred from physical interaction /// 0005840 // ribosome // inferred from electronic annotation /// 0030529 // ribonucleoprotein complex // inferred from electronic annotation	0003735 // structural constituent of ribosome // inferred from electronic annotation /// 0003735 // structural constituent of ribosome // inferred from physical interaction
7238_at	YBR102C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YBR102C hypothetical protein	YBR102C	Exocyst subunit with dual roles in exocytosis and spliceosome assembly; subunit of the the exocyst complex which mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis at the plasma membrane (PM) prior to SNARE-mediated fusion; required for exocyst assembly and targeting the complex to specific sites on the bud tip PM; associates the U1 snRNP; role in pre-mRNA splicing and prespliceosome formation; possible Cdc28 substrate	EXO84	852398	NM_001178450	S000000306	0000245 // spliceosomal complex assembly // inferred from mutant phenotype /// 0000245 // spliceosomal complex assembly // inferred from physical interaction /// 0001927 // exocyst assembly // inferred from mutant phenotype /// 0006810 // transport // inferred from electronic annotation /// 0006887 // exocytosis // inferred from electronic annotation /// 0006887 // exocytosis // inferred from genetic interaction /// 0006887 // exocytosis // inferred from mutant phenotype /// 0006893 // Golgi to plasma membrane transport // inferred from mutant phenotype /// 0015031 // protein transport // inferred from electronic annotation /// 0051601 // exocyst localization // inferred from mutant phenotype /// 0090522 // vesicle tethering involved in exocytosis // inferred by curator	0000131 // incipient cellular bud site // inferred from direct assay /// 0000145 // exocyst // inferred from direct assay /// 0005628 // prospore membrane // inferred from direct assay /// 0005933 // cellular bud // inferred from electronic annotation /// 0005934 // cellular bud tip // inferred from direct assay /// 0005935 // cellular bud neck // inferred from direct assay /// 0005935 // cellular bud neck // inferred from electronic annotation /// 0030133 // transport vesicle // inferred from electronic annotation /// 0031410 // cytoplasmic vesicle // inferred from electronic annotation /// 0043332 // mating projection tip // inferred from direct assay	0005515 // protein binding // inferred from physical interaction
7239_at	YBR103W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YBR103W weak similarity to human U3 snoRNP associated 55 kDa protein	YBR103W	WD40 repeat-containing subunit of Set3C histone deacetylase complex; complex represses early/middle sporulation genes; antagonizes telomeric silencing; binds specifically to the Sir4p N-terminus	SIF2	852399	NM_001178451	S000000307	0006355 // regulation of transcription, DNA-templated // inferred from mutant phenotype /// 0016568 // chromatin modification // inferred from electronic annotation /// 0016575 // histone deacetylation // inferred from direct assay /// 0031939 // negative regulation of chromatin silencing at telomere // inferred from mutant phenotype /// 0031939 // negative regulation of chromatin silencing at telomere // inferred from physical interaction /// 0032874 // positive regulation of stress-activated MAPK cascade // inferred from mutant phenotype /// 0045835 // negative regulation of meiosis // inferred from physical interaction	0005634 // nucleus // inferred from direct assay /// 0005634 // nucleus // inferred from electronic annotation /// 0034967 // Set3 complex // inferred from direct assay /// 0070210 // Rpd3L-Expanded complex // inferred from direct assay	0005515 // protein binding // inferred from physical interaction
7240_at	YBR104W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YBR104W mitochondrial carrier protein	YBR104W	Putative mitochondrial inner membrane transporter; proposed role in oleate metabolism and glutamate biosynthesis; member of the mitochondrial carrier (MCF) family; YMC2 has a paralog, YMC1, that arose from the whole genome duplication	YMC2	852401	NM_001178452	S000000308	0006810 // transport // inferred from electronic annotation /// 0006839 // mitochondrial transport // inferred from genetic interaction /// 0015849 // organic acid transport // inferred from genetic interaction /// 0055085 // transmembrane transport // inferred from genetic interaction /// 0055085 // transmembrane transport // inferred from sequence or structural similarity	0005739 // mitochondrion // inferred from direct assay /// 0005739 // mitochondrion // inferred from electronic annotation /// 0005743 // mitochondrial inner membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // not recorded	0005342 // organic acid transmembrane transporter activity // inferred from genetic interaction /// 0005342 // organic acid transmembrane transporter activity // inferred from sequence or structural similarity
7241_at	YBR105C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YBR105C involved in fructose-1,6-bisphosphatase degradation	YBR105C	GID Complex regulatory subunit; binds GID Complex in response to glucose through interactions with complex member Vid28p; regulates fructose-1,6-bisphosphatase (FBPase) targeting to the vacuole; promotes proteasome-dependent catabolite degradation of FBPase; peripheral membrane protein located at Vid (vacuole import and degradation) vesicles	VID24	852402	NM_001178453	S000000309	0006623 // protein targeting to vacuole // inferred from mutant phenotype /// 0006810 // transport // inferred from electronic annotation /// 0007039 // vacuolar protein catabolic process // inferred from mutant phenotype /// 0015031 // protein transport // inferred from electronic annotation /// 0016192 // vesicle-mediated transport // inferred from mutant phenotype /// 0043161 // proteasome-mediated ubiquitin-dependent protein catabolic process // inferred from mutant phenotype /// 0045721 // negative regulation of gluconeogenesis // inferred from mutant phenotype /// 0051469 // vesicle fusion with vacuole // inferred from mutant phenotype	0016020 // membrane // inferred from electronic annotation /// 0016023 // cytoplasmic membrane-bounded vesicle // inferred from direct assay /// 0019898 // extrinsic component of membrane // inferred from direct assay /// 0030659 // cytoplasmic vesicle membrane // inferred from electronic annotation /// 0031410 // cytoplasmic vesicle // inferred from electronic annotation /// 0034657 // GID complex // inferred from direct assay	
7242_at	YBR106W		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YBR106W May be a membrane protein involved in inorganic phosphate transport and regulation of Pho81p function	YBR106W	Probable membrane protein; involved in phosphate transport; role in the maturation of secretory proteins; pho88 pho86 double null mutant exhibits enhanced synthesis of repressible acid phosphatase at high inorganic phosphate concentrations	PHO88	852403	NM_001178454	S000000310	0006810 // transport // inferred from electronic annotation /// 0006817 // phosphate ion transport // inferred from electronic annotation /// 0006817 // phosphate ion transport // inferred from genetic interaction /// 0006817 // phosphate ion transport // inferred from mutant phenotype /// 0006817 // phosphate ion transport // inferred from sequence or structural similarity /// 0051604 // protein maturation // inferred from mutant phenotype	0005739 // mitochondrion // inferred from direct assay /// 0005739 // mitochondrion // inferred from electronic annotation /// 0016020 // membrane // inferred from direct assay /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // inferred from electronic annotation	0005515 // protein binding // inferred from physical interaction
7243_at	YBR107C		Saccharomyces cerevisiae	Oct 6, 2014	Exemplar sequence	Saccharomyces Genome Database	YBR107C weak similarity to N.crassa chitin synthase	YBR107C	Outer kinetochore protein and component of the Ctf19 complex; involved in the establishment of pericentromeric cohesion during mitosis; prevents non-disjunction of sister chromatids during meiosis II; required for localization of Sgo1p to pericentric sites during meiosis I; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-L and fission yeast fta1	IML3	852404	NM_001178455	S000000311	0007049 // cell cycle // inferred from electronic annotation /// 0007067 // mitotic nuclear division // inferred from electronic annotation /// 0007126 // meiotic nuclear division // inferred from electronic annotation /// 0030437 // ascospore formation // inferred from mutant phenotype /// 0034087 // establishment of mitotic sister chromatid cohesion // inferred from genetic interaction /// 0034087 // establishment of mitotic sister chromatid cohesion // inferred from mutant phenotype /// 0034089 // establishment of meiotic sister chromatid cohesion // inferred from mutant phenotype /// 0034090 // maintenance of meiotic sister chromatid cohesion // inferred from mutant phenotype /// 0045144 // meiotic sister chromatid segregation // inferred from mutant phenotype /// 0051301 // cell division // inferred from electronic annotation /// 0071459 // protein localization to chromosome, centromeric region // inferred from mutant phenotype	0000775 // chromosome, centromeric region // inferred from electronic annotation /// 0000776 // kinetochore // inferred from electronic annotation /// 0000777 // condensed chromosome kinetochore // inferred from electronic annotation /// 0000942 // condensed nuclear chromosome outer kinetochore // inferred from direct assay /// 0005634 // nucleus // inferred from electronic annotation /// 0005694 // chromosome // inferred from electronic annotation	
